Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     64.30     0.00        2     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     64.30     0.00        2     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00     64.30     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10Electrodes9init_elecEv
  0.00     64.30     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00     64.30     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     64.30     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     64.30     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     64.30     0.00        1     0.00     0.00  Solver::del(std::pair<double, double>*)
  0.00     64.30     0.00        1     0.00     0.00  Solver::del(int*)
  0.00     64.30     0.00        1     0.00    62.62  Solver::solve()
  0.00     64.30     0.00        1     0.00     0.00  Solver::set_BCs(double, double, double, double, double, double)
  0.00     64.30     0.00        1     0.00     0.59  Solver::set_val(std::vector<double, std::allocator<double> >&, double, double, double)
  0.00     64.30     0.00        1     0.00     0.00  Solver::set_val(double, double)
  0.00     64.30     0.00        1     0.00     0.00  Solver::set_val(int, int, int)
  0.00     64.30     0.00        1     0.00     0.01  Solver::Solver()
  0.00     64.30     0.00        1     0.00     0.00  Solver::~Solver()
